x,F(x)
0.15,0.00174825174825175
0.154878048780488,0.00174825174825175
0.159756097560976,0.00174825174825175
0.164634146341463,0.00174825174825175
0.169512195121951,0.00174825174825175
0.174390243902439,0.00233100233100233
0.179268292682927,0.00233100233100233
0.184146341463415,0.00233100233100233
0.189024390243902,0.00233100233100233
0.19390243902439,0.00233100233100233
0.198780487804878,0.00233100233100233
0.203658536585366,0.00874125874125874
0.208536585365854,0.00874125874125874
0.213414634146341,0.0291375291375291
0.218292682926829,0.0291375291375291
0.223170731707317,0.128787878787879
0.228048780487805,0.128787878787879
0.232926829268293,0.272144522144522
0.23780487804878,0.272144522144522
0.242682926829268,0.47027972027972
0.247560975609756,0.47027972027972
0.252439024390244,0.653263403263403
0.257317073170732,0.653263403263403
0.26219512195122,0.755827505827506
0.267073170731707,0.755827505827506
0.271951219512195,0.831002331002331
0.276829268292683,0.831002331002331
0.281707317073171,0.892773892773893
0.286585365853659,0.892773892773893
0.291463414634146,0.926573426573427
0.296341463414634,0.926573426573427
0.301219512195122,0.988927738927739
0.30609756097561,0.988927738927739
0.310975609756098,0.991841491841492
0.315853658536585,0.991841491841492
0.320731707317073,0.996503496503496
0.325609756097561,0.996503496503496
0.330487804878049,0.997086247086247
0.335365853658537,0.997086247086247
0.340243902439024,0.997668997668998
0.345121951219512,0.997668997668998
0.35,1.0
